Id,Name,Team,Type,Price,IsForeigner,IsSpinner,IsFastBowler,Opener,Middle,Finisher,Newball,Death,Dependable
197,Jacob Bethell,RCB,AR,2.6,true,true,false,0,0,0,0,0,0
198,Brydon Carse,SRH,AR,1,true,false,true,0,0,0,0,0,0
199,Aaron Hardie,PBKS,AR,1.25,true,false,true,0,0,0,0,0,0
200,Kamindu Mendis,SRH,AR,0.75,true,true,false,0,0,0,0,0,0
201,Dushmantha Chameera,DC,BOWL,0.75,true,false,true,0,0,0,0,0,0
202,Nathan Ellis,CSK,BOWL,2,true,false,true,0,0,0,0,0,0
203,Shamar Joseph,LSG,BOWL,0.75,true,false,true,0,0,0,0,0,0
204,Aniket Verma,SRH,BAT,0.3,false,false,false,0,0,0,0,0,0
205,Raj Bawa,MI,AR,0.3,false,false,true,0,0,0,0,0,0
206,Musheer Khan,PBKS,AR,0.3,false,true,false,0,0,0,0,0,0
207,Manvanth Kumar,DC,AR,0.3,false,true,false,0,0,0,0,0,0
208,Suryansh Shedge,PBKS,AR,0.3,false,false,true,0,0,0,0,0,0
209,Kulwant Khejroliya,GT,BOWL,0.3,false,false,true,0,0,0,0,0,0
210,Prince Yadav,LSG,BOWL,0.3,false,false,true,0,0,0,0,0,0
211,Jamie Overton,CSK,AR,1.5,true,false,true,0,0,0,0,0,0
212,Xavier Bartlett,PBKS,BOWL,0.8,true,false,true,0,0,0,0,0,0
213,Lungi Ngidi,RCB,BOWL,1,true,false,true,0,0,0,0,0,0
214,Kamlesh Nagarkoti,CSK,AR,0.3,false,false,true,0,0,0,0,0,0
215,Abhinandan Singh,RCB,BOWL,0.3,false,false,true,0,0,0,0,0,0
216,Karim Janat,GT,AR,0.75,true,false,true,0,0,0,0,0,0
217,Pyla Avinash,PBKS,BAT,0.3,false,false,false,0,0,0,0,0,0
218,Ramakrishna Ghosh,CSK,AR,0.3,false,false,true,0,0,0,0,0,0
219,Satyanarayana Raju,MI,BOWL,0.3,false,false,true,0,0,0,0,0,0
220,Bevon Jacobs,MI,BAT,0.3,true,false,false,0,0,0,0,0,0
221,Ashok Sharma,RR,BOWL,0.3,false,false,true,0,0,0,0,0,0
222,Vaibhav Suryavanshi,RR,BAT,1.1,false,false,false,0,0,0,0,0,0
223,Eshan Malinga,SRH,BOWL,1.2,true,false,true,0,0,0,0,0,0
224,Tripurana Vijay,DC,AR,0.3,false,false,true,0,0,0,0,0,0
225,Madhav Tiwari,DC,AR,0.4,false,false,true,0,0,0,0,0,0
226,Vignesh Puthur,MI,AR,0.3,false,true,false,0,0,0,0,0,0
227,Jofra Archer,RR,BOWL,12.5,true,false,true,0,0,0,0,0,0
